"","x"
"1","Tyrannus_albogularis"
"2","Hymenops_perspicillatus"
"3","Elaenia_flavogaster"
"4","Hirundinea_ferruginea"
"5","Rhynchocyclus_olivaceus"
"6","Piprites_chloris"
"7","Tityra_cayana"
"8","Myiobius_barbatus"
"9","Rupicola_rupicola"
"10","Pipra_erythrocephala"
"11","Cryptopipo_holochlora"
"12","Sclerurus_mexicanus"
"13","Myrmothera_campanisona"
"14","Terenura_callinota"
"15","Myrmornis_torquata"
"16","Melanopareia_maximiliani"
"17","Calyptomena_viridis"
"18","Neodrepanis_coruscans"
"19","Turdus_olivater"
"20","Regulus_ignicapilla"
"21","Fringilla_coelebs"
"22","Sylvia_melanocephala"
"23","Pycnonotus_macrotis"
"24","Calandrella_brachydactyla"
"25","Poecile_lugubris"
"26","Corvus_albus"
"27","Malurus_splendens"
"28","Ptilonorhynchus_violaceus"
"29","Climacteris_melanura"
"30","Menura_novaehollandiae"
"31","Acanthisitta_chloris"
"32","Barnardius_zonarius"
"33","Psittrichas_fulgidus"
"34","Deroptyus_accipitrinus"
"35","Psittacus_erithacus"
"36","Probosciger_aterrimus"
"37","Caracara_cheriway"
"38","Falco_sparverius"
"39","Micrastur_gilvicollis"
"40","Cariama_cristata"
"41","Chunga_burmeisteri"
"42","Ramphastos_ambiguus"
"43","Capito_niger"
"44","Megalaima_chrysopogon"
"45","Picus_canus"
"46","Jynx_torquilla"
"47","Indicator_exilis"
"48","Bucco_capensis"
"49","Chelidoptera_tenebrosa"
"50","Galbula_dea"
"51","Alcedo_quadribrachys"
"52","Chloroceryle_inda"
"53","Momotus_lessonii"
"54","Todus_mexicanus"
"55","Coracias_cyanogaster"
"56","Upupa_epops"
"57","Phoeniculus_purpureus"
"58","Bucorvus_leadbeateri"
"59","Tockus_camurus"
"60","Trogon_elegans"
"61","Apaloderma_aequatoriale"
"62","Urocolius_indicus"
"63","Colius_colius"
"64","Tyto_alba"
"65","Strix_varia"
"66","Accipiter_superciliosus"
"67","Buteo_jamaicensis"
"68","Elanus_leucurus"
"69","Pandion_haliaetus"
"70","Sagittarius_serpentarius"
"71","Cathartes_burrovianus"
"72","Vultur_gryphus"
